Laptop Name,Laptop Price,Laptop Description,Laptop Specifications,Rating,Reviews
Infinix INBook Y1 Plus Intel Core i3 10th Gen,"30,990","XL28 Thin and Light ...4.3496 Ratings & 71 ReviewsIntel Core i3 Processor (10th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty₹30,990₹49,9903",8 GB LPDDR4X RAM64,...4.3496,71 Reviews
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA,"39,990","Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS...4.3119 Ratings & 15 ReviewsAMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹39,990₹50,9902",8 GB LPDDR5 RAMWindows,...4.3119,15 Reviews
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14,"59,990","Eyesafe Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Th...4.4316 Ratings & 32 ReviewsAMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹59,990₹69,0831",16 GB DDR4 RAM64,...4.4316,32 Reviews
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H,"54,990","Display1 Year Onsite Warranty₹54,990₹75,9902",8 GB DDR4 RAM64,...4.4393,40 Reviews
Infinix INBook Y1 Plus Intel Core i3 10th Gen,"27,990","XL28 Thin and Light ...4.21,607 Ratings & 256 ReviewsIntel Core i3 Processor (10th Gen)8 GB LPDDR4X RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty₹27,990₹44,9903",8 GB LPDDR4X RAM64,607,256 Reviews
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A4.8142 Ratings & 18 ReviewsApple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt,"1,06,990","MLY33HN/A4.8142 Ratings & 18 ReviewsApple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty₹1,06,990₹1,19,9001",8 GB Unified Memory,4.8142,18 Reviews
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U,"49,990","DisplayAcer Collection , Acer Product Registration, Acer Care Center, Quick Access1 Year International Travelers Warranty (ITW)₹49,990₹76,9993",8 GB DDR4 RAM64,779,686 Reviews
HP Laptop Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s,"37,990","15s- eq2212AU Thin and Light Lap...4.353 Ratings & 10 ReviewsAMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹37,990₹48,4192",8 GB DDR4 RAMWindows,...4.353,10 Reviews
Infinix INBook X1 Neo Series Celeron Quad Core,"22,990","XL22 Thin and Light...4.11,434 Ratings & 235 ReviewsIntel Celeron Quad Core Processor4 GB LPDDR4X RAM64 bit Windows 11 Operating System128 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹22,990₹29,9902",4 GB LPDDR4X RAM64,434,235 Reviews
ASUS ROG Strix SCAR 18 (2023) Core i9 13th Gen,"3,59,990","Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...Intel Core i9 Processor (13th Gen)32 GB DDR5 RAMWindows 11 Operating System1 TB SSD45.72 cm (18 Inch) Display1 Year Onsite Warranty₹3,59,990₹4,19,9901",32 GB DDR5 RAMWindows,Not found,No Reviews Found
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s,"47,990","15s- eq2182AU Thin and Light Laptop4.3544 Ratings & 56 ReviewsAMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office 2021 Home & Student, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty₹47,990₹59,1091",16 GB DDR4 RAM64,4.3544,56 Reviews
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14s,"47,900","14s-fy1003AU Thin and Light Laptop4.3304 Ratings & 24 ReviewsAMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty₹47,900₹59,2411",16 GB DDR4 RAM64,4.3304,24 Reviews
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,"24,990","XL30 Thin and...4.1176 Ratings & 35 ReviewsIntel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹24,990₹34,9902",8 GB LPDDR4X RAMWindows,...4.1176,35 Reviews
"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A4.79,699 Ratings & 854 ReviewsApple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt","84,490","MGN93HN/A4.79,699 Ratings & 854 ReviewsApple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty₹84,490₹99,9001",8 GB DDR4 RAMMac,699,854 Reviews
DELL Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop4.1130 Ratings & 13 ReviewsProcessor: Intel i3-1215U (Base,"43,990","New Inspiron 15 Laptop Thin and Light Laptop4.1130 Ratings & 13 ReviewsProcessor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 CoresRAM & Storage: 8GB DDR4 & 512GB SSDGraphics & Keyboard: Integrated & Standard KeyboardDisplay: 15.6"" FHD WVA AG 120Hz 250 nits Narrow BorderIntel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Hardware Service₹43,990₹62,4812",8 GB DDR4 RAM64,4.1130,13 Reviews
realme Book(Slim) Intel Evo Core i5 11th Gen,"47,999","Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...4.47,518 Ratings & 997 ReviewsPowered by 11th Gen Intel Evo Core i5 ProcessorMicrosoft Office 2019 Home & Student IncludedStylish Thin and Light Laptop without Optical Disk DriveIntel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office 2019 Home & Student1 Year Domestic Warranty₹47,999₹69,9993",8 GB DDR4 RAM64,518,997 Reviews
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen,"27,490","XL30 Thin and...4.3113 Ratings & 25 ReviewsIntel Celeron Quad Core Processor (11th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹27,490₹39,9903",8 GB LPDDR4X RAMWindows,...4.3113,25 Reviews
